Date,SA,NSA
1991-01,100.0,100.0
1991-02,100.45,100.39
1991-03,100.48,100.68
1991-04,100.33,100.68
1991-05,100.38,100.83
1991-06,100.51,101.35
1991-07,100.54,101.31
1991-08,100.38,101.28
1991-09,100.62,101.36
1991-10,100.92,101.58
1991-11,101.43,102.02
1991-12,101.88,102.17
1992-01,102.23,102.22
1992-02,102.97,102.89
1992-03,102.82,103.01
1992-04,102.56,102.92
1992-05,102.59,103.07
1992-06,102.52,103.4
1992-07,102.87,103.69
1992-08,103.33,104.28
1992-09,103.71,104.49
1992-10,104.04,104.72
1992-11,104.31,104.91
1992-12,104.21,104.5
1993-01,104.26,104.23
1993-02,104.06,103.96
1993-03,104.39,104.57
1993-04,105.03,105.41
1993-05,105.26,105.8
1993-06,105.61,106.56
1993-07,105.67,106.58
1993-08,106.06,107.09
1993-09,106.45,107.26
1993-10,106.66,107.35
1993-11,107.01,107.59
1993-12,107.52,107.78
1994-01,107.78,107.7
1994-02,108.01,107.86
1994-03,108.39,108.56
1994-04,108.7,109.12
1994-05,109.06,109.69
1994-06,109.25,110.29
1994-07,109.37,110.39
1994-08,109.64,110.76
1994-09,109.7,110.55
1994-10,109.99,110.67
1994-11,110.23,110.77
1994-12,110.22,110.43
1995-01,110.52,110.41
1995-02,111.11,110.93
1995-03,110.96,111.15
1995-04,111.22,111.67
1995-05,111.37,112.1
1995-06,111.75,112.89
1995-07,112.27,113.39
1995-08,112.56,113.75
1995-09,112.81,113.67
1995-10,112.85,113.52
1995-11,113.09,113.58
1995-12,113.57,113.74
1996-01,113.97,113.81
1996-02,114.13,113.94
1996-03,114.57,114.78
1996-04,114.82,115.31
1996-05,115.07,115.92
1996-06,115.19,116.43
1996-07,115.57,116.8
1996-08,115.59,116.82
1996-09,115.88,116.76
1996-10,115.99,116.65
1996-11,116.32,116.76
1996-12,116.67,116.78
1997-01,116.82,116.64
1997-02,117.09,116.89
1997-03,117.58,117.83
1997-04,117.79,118.32
1997-05,118.23,119.16
1997-06,118.28,119.59
1997-07,118.58,119.87
1997-08,119.01,120.27
1997-09,119.18,120.1
1997-10,119.8,120.46
1997-11,120.2,120.63
1997-12,120.59,120.68
1998-01,121.03,120.84
1998-02,121.88,121.67
1998-03,122.3,122.57
1998-04,122.85,123.42
1998-05,123.33,124.34
1998-06,124.12,125.53
1998-07,124.45,125.83
1998-08,124.96,126.28
1998-09,125.77,126.76
1998-10,126.29,127.01
1998-11,127.13,127.56
1998-12,127.71,127.78
1999-01,128.43,128.24
1999-02,128.94,128.72
1999-03,129.52,129.81
1999-04,130.14,130.75
1999-05,130.93,132.02
1999-06,131.53,133.06
1999-07,132.26,133.75
1999-08,133.05,134.44
1999-09,133.45,134.54
1999-10,134.23,135.04
1999-11,134.82,135.27
1999-12,135.48,135.55
2000-01,137.07,136.87
2000-02,136.86,136.63
2000-03,137.93,138.2
2000-04,138.88,139.52
2000-05,139.45,140.62
2000-06,140.41,142.06
2000-07,141.14,142.78
2000-08,141.68,143.19
2000-09,142.56,143.79
2000-10,143.34,144.26
2000-11,144.23,144.71
2000-12,145.09,145.15
2001-01,146.0,145.77
2001-02,147.0,146.73
2001-03,147.79,148.04
2001-04,148.66,149.32
2001-05,149.32,150.56
2001-06,150.03,151.81
2001-07,150.86,152.66
2001-08,151.59,153.24
2001-09,152.37,153.76
2001-10,153.32,154.35
2001-11,153.79,154.32
2001-12,154.78,154.85
2002-01,155.65,155.34
2002-02,156.54,156.22
2002-03,157.56,157.78
2002-04,158.39,159.09
2002-05,159.47,160.82
2002-06,160.48,162.39
2002-07,161.49,163.47
2002-08,162.53,164.37
2002-09,163.51,165.08
2002-10,164.65,165.81
2002-11,165.61,166.2
2002-12,166.83,166.87
2003-01,167.84,167.4
2003-02,168.88,168.48
2003-03,169.44,169.64
2003-04,170.5,171.25
2003-05,171.42,172.93
2003-06,172.24,174.34
2003-07,173.5,175.68
2003-08,174.77,176.83
2003-09,176.19,177.92
2003-10,177.21,178.47
2003-11,178.6,179.24
2003-12,180.09,180.08
2004-01,181.25,180.62
2004-02,182.62,182.15
2004-03,183.96,184.16
2004-04,185.5,186.35
2004-05,187.25,189.01
2004-06,189.19,191.59
2004-07,190.7,193.15
2004-08,192.06,194.43
2004-09,193.57,195.52
2004-10,195.03,196.39
2004-11,196.81,197.47
2004-12,198.54,198.42
2005-01,199.96,199.08
2005-02,201.4,200.84
2005-03,203.4,203.62
2005-04,205.26,206.28
2005-05,206.93,209.02
2005-06,208.72,211.53
2005-07,210.82,213.62
2005-08,212.32,215.05
2005-09,214.27,216.4
2005-10,215.5,216.98
2005-11,216.87,217.51
2005-12,218.18,217.89
2006-01,219.56,218.41
2006-02,219.96,219.32
2006-03,220.83,221.05
2006-04,221.25,222.45
2006-05,221.82,224.23
2006-06,221.82,225.02
2006-07,221.65,224.76
2006-08,222.25,225.22
2006-09,222.21,224.43
2006-10,222.45,224.01
2006-11,223.11,223.72
2006-12,223.19,222.74
2007-01,223.95,222.59
2007-02,224.02,223.3
2007-03,224.91,225.02
2007-04,224.96,226.2
2007-05,223.86,226.47
2007-06,222.98,226.43
2007-07,221.9,225.17
2007-08,220.88,223.96
2007-09,220.06,222.23
2007-10,218.17,219.77
2007-11,216.68,217.31
2007-12,215.59,215.02
2008-01,213.75,212.3
2008-02,212.41,211.55
2008-03,210.55,210.44
2008-04,208.22,209.37
2008-05,205.94,208.5
2008-06,204.61,208.01
2008-07,202.74,205.98
2008-08,200.62,203.56
2008-09,198.85,200.88
2008-10,197.16,198.71
2008-11,193.68,194.38
2008-12,193.13,192.56
2009-01,194.68,193.21
2009-02,194.94,193.91
2009-03,192.65,192.31
2009-04,191.42,192.45
2009-05,191.32,193.87
2009-06,191.26,194.72
2009-07,190.62,193.98
2009-08,190.36,193.33
2009-09,190.14,192.22
2009-10,190.49,192.1
2009-11,191.06,191.91
2009-12,189.3,188.71
2010-01,189.29,187.71
2010-02,188.54,187.27
2010-03,188.3,187.8
2010-04,188.59,189.59
2010-05,188.58,191.26
2010-06,186.59,190.27
2010-07,185.45,189.06
2010-08,185.24,188.28
2010-09,183.48,185.65
2010-10,183.76,185.35
2010-11,183.19,184.09
2010-12,181.82,181.22
2011-01,180.71,179.07
2011-02,179.18,177.69
2011-03,177.18,176.65
2011-04,177.6,178.58
2011-05,177.22,179.94
2011-06,177.65,181.45
2011-07,178.02,181.8
2011-08,177.55,180.63
2011-09,178.58,180.8
2011-10,177.63,179.12
2011-11,178.35,179.24
2011-12,178.97,178.34
2012-01,178.18,176.46
2012-02,178.65,176.98
2012-03,180.19,179.69
2012-04,181.1,182.16
2012-05,182.17,185.1
2012-06,182.91,187.03
2012-07,183.3,187.4
2012-08,184.59,187.82
2012-09,185.29,187.6
