Series id,Year,Quarter,Value
LES1252881600,1980,Q01,321
LES1252881600,1980,Q02,315
LES1252881600,1980,Q03,319
LES1252881600,1980,Q04,315
LES1252881600,1981,Q01,314
LES1252881600,1981,Q02,311
LES1252881600,1981,Q03,309
LES1252881600,1981,Q04,312
LES1252881600,1982,Q01,312
LES1252881600,1982,Q02,314
LES1252881600,1982,Q03,311
LES1252881600,1982,Q04,313
LES1252881600,1983,Q01,315
LES1252881600,1983,Q02,314
LES1252881600,1983,Q03,315
LES1252881600,1983,Q04,312
LES1252881600,1984,Q01,313
LES1252881600,1984,Q02,312
LES1252881600,1984,Q03,313
LES1252881600,1984,Q04,316
LES1252881600,1985,Q01,314
LES1252881600,1985,Q02,323
LES1252881600,1985,Q03,320
LES1252881600,1985,Q04,320
LES1252881600,1986,Q01,321
LES1252881600,1986,Q02,328
LES1252881600,1986,Q03,328
LES1252881600,1986,Q04,331
LES1252881600,1987,Q01,328
LES1252881600,1987,Q02,328
LES1252881600,1987,Q03,330
LES1252881600,1987,Q04,328
LES1252881600,1988,Q01,329
LES1252881600,1988,Q02,325
LES1252881600,1988,Q03,325
LES1252881600,1988,Q04,324
LES1252881600,1989,Q01,323
LES1252881600,1989,Q02,322
LES1252881600,1989,Q03,322
LES1252881600,1989,Q04,322
LES1252881600,1990,Q01,319
LES1252881600,1990,Q02,319
LES1252881600,1990,Q03,313
LES1252881600,1990,Q04,312
LES1252881600,1991,Q01,316
LES1252881600,1991,Q02,312
LES1252881600,1991,Q03,312
LES1252881600,1991,Q04,313
LES1252881600,1992,Q01,315
LES1252881600,1992,Q02,313
LES1252881600,1992,Q03,314
LES1252881600,1992,Q04,312
LES1252881600,1993,Q01,315
LES1252881600,1993,Q02,317
LES1252881600,1993,Q03,319
LES1252881600,1993,Q04,319
LES1252881600,1994,Q01,316
LES1252881600,1994,Q02,317
LES1252881600,1994,Q03,314
LES1252881600,1994,Q04,314
LES1252881600,1995,Q01,313
LES1252881600,1995,Q02,314
LES1252881600,1995,Q03,317
LES1252881600,1995,Q04,313
LES1252881600,1996,Q01,312
LES1252881600,1996,Q02,312
LES1252881600,1996,Q03,314
LES1252881600,1996,Q04,313
LES1252881600,1997,Q01,313
LES1252881600,1997,Q02,314
LES1252881600,1997,Q03,314
LES1252881600,1997,Q04,314
LES1252881600,1998,Q01,319
LES1252881600,1998,Q02,319
LES1252881600,1998,Q03,321
LES1252881600,1998,Q04,328
LES1252881600,1999,Q01,324
LES1252881600,1999,Q02,329
LES1252881600,1999,Q03,330
LES1252881600,1999,Q04,335
LES1252881600,2000,Q01,334
LES1252881600,2000,Q02,334
LES1252881600,2000,Q03,335
LES1252881600,2000,Q04,334
LES1252881600,2001,Q01,333
LES1252881600,2001,Q02,336
LES1252881600,2001,Q03,338
LES1252881600,2001,Q04,340
LES1252881600,2002,Q01,341
LES1252881600,2002,Q02,339
LES1252881600,2002,Q03,337
LES1252881600,2002,Q04,336
LES1252881600,2003,Q01,335
LES1252881600,2003,Q02,338
LES1252881600,2003,Q03,337
LES1252881600,2003,Q04,337
LES1252881600,2004,Q01,337
LES1252881600,2004,Q02,341
LES1252881600,2004,Q03,335
LES1252881600,2004,Q04,337
LES1252881600,2005,Q01,336
LES1252881600,2005,Q02,334
LES1252881600,2005,Q03,331
LES1252881600,2005,Q04,332
LES1252881600,2006,Q01,332
LES1252881600,2006,Q02,329
LES1252881600,2006,Q03,334
LES1252881600,2006,Q04,337
LES1252881600,2007,Q01,336
LES1252881600,2007,Q02,335
LES1252881600,2007,Q03,336
LES1252881600,2007,Q04,332
LES1252881600,2008,Q01,335
LES1252881600,2008,Q02,335
LES1252881600,2008,Q03,331
LES1252881600,2008,Q04,340
LES1252881600,2009,Q01,345
LES1252881600,2009,Q02,345
LES1252881600,2009,Q03,345
LES1252881600,2009,Q04,344
LES1252881600,2010,Q01,344
LES1252881600,2010,Q02,342
LES1252881600,2010,Q03,342
LES1252881600,2010,Q04,341
LES1252881600,2011,Q01,338
LES1252881600,2011,Q02,336
LES1252881600,2011,Q03,336
LES1252881600,2011,Q04,335
LES1252881600,2012,Q01,335
LES1252881600,2012,Q02,337
LES1252881600,2012,Q03,333
LES1252881600,2012,Q04,333
LES1252881600,2013,Q01,331
LES1252881600,2013,Q02,335
LES1252881600,2013,Q03,334
LES1252881600,2013,Q04,334
LES1252881600,2014,Q01,335
LES1252881600,2014,Q02,330
LES1252881600,2014,Q03,336
LES1252881600,2014,Q04,336
LES1252881600,2015,Q01,341
LES1252881600,2015,Q02,339
LES1252881600,2015,Q03,340
LES1252881600,2015,Q04,345
LES1252881600,2016,Q01,346
LES1252881600,2016,Q02,345
LES1252881600,2016,Q03,347
LES1252881600,2016,Q04,349
LES1252881600,2017,Q01,352
LES1252881600,2017,Q02,354
LES1252881600,2017,Q03,352
LES1252881600,2017,Q04,345
LES1252881600,2018,Q01,351
LES1252881600,2018,Q02,351
LES1252881600,2018,Q03,354
LES1252881600,2018,Q04,355
LES1252881600,2019,Q01,355
LES1252881600,2019,Q02,358
LES1252881600,2019,Q03,360
LES1252881600,2019,Q04,362
LES1252881600,2020,Q01,367
LES1252881600,2020,Q02,393
LES1252881600,2020,Q03,384
LES1252881600,2020,Q04,377
LES1252881600,2021,Q01,373
LES1252881600,2021,Q02,371
LES1252881600,2021,Q03,367
LES1252881600,2021,Q04,362
LES1252881600,2022,Q01,362
LES1252881600,2022,Q02,359
LES1252881600,2022,Q03,362
LES1252881600,2022,Q04,363
LES1252881600,2023,Q01,363
LES1252881600,2023,Q02,365
